Name,Points,Year,Position,Number,School,YDS,TDS
Ty Alcott,0.0,JR,RB/DB,#24,Belle Plaine,0,0
Nolan Kriegel,0.0,FR,QB/DB,#2,Iowa Valley,0,0
Landon Hagedorn,0.0,SR,TE/DE,#34,North Union,0,0
Lance McShane,0.0,SR,RB/LB,#30,Maquoketa Valley,0,0
Myles Grove,0.0,SR,QB/LB,#10,English Valleys,0,0
Shane Helmick,0.0,SR,QB/DE,#12,Moravia,0,0
Jameson Kilworth,0.0,SR,QB/DB,#8,Exira-EHK,0,0
Angelo Jackson,0.0,SR,RB/DB,#21,Assumption,0,0
Kael Caikoski,0.0,SR,RB/LB,#22,Melcher-Dallas,0,0
Josh Ladeburg,0.0,SR,FB/LB,#44,Oelwein,0,0
Carter Kunze,0.0,JR,RB/LB,#22,Tri-Center,0,0
Owen Hassell,0.0,JR,RB/LB,#6,Wilton,0,0
Oliver Schmitt,0.0,SR,FB,#22,Turkey Valley,0,0
Brock Oxenreider,0.0,JR,RB/LB,#28,Chariton,0,0
Titan Schmitt,0.0,JR,RB/S,#25,Clear Lake,0,0
Parker Timp,0.0,SR,FB/DL,#22,South Winneshiek,0,0
Max Henstorf,0.0,SR,QB/LB,#7,HLV,0,0
Dawson Smith,0.0,SR,RB/LB,#20,Iowa Valley,0,0
Peyton Gress,0.0,JR,QB/DB,#18,MVAOCOU,0,0
Kaden Amigon,0.0,SR,RB/LB,#5,Columbus,0,0
Tatum Cooper,0.0,JR,RB/LB,#24,Westwood,0,0
Cole Fehr,0.0,JR,RB/LB,#33,West Bend-Mallard,0,0
Beau Kaufman,0.0,SR,RB/LB,#8,Lake Mills,0,0
Daniel Larmie,0.0,SO,RB,#21,Ankeny,0,0
Eli Rouse,0.0,SR,RB/LB,#12,Ballard,0,0
Ethan Bockelman,0.0,SR,QB/DB,#22,Lone Tree,0,0
Adam Scott,0.0,SR,RB/LB,#26,West Central,0,0
Colby Wallace,0.0,JR,QB/S,#11,Glidden-Ralston,0,0
Broox Stockman,0.0,SO,RB/LB,#20,Montezuma,0,0
Ben Gonzalez,0.0,JR,RB/LB,#25,West Marshall,0,0
Cason Miller,0.0,JR,RB,#12,Fairfield,0,0
Jaxon Cherry,0.0,SR,RB/LB,#24,Webster City,0,0
Bode Higgins,0.0,JR,RB/LB,#4,Spirit Lake,0,0
Casey Kelley,0.0,SR,RB/DB,#7,Prairie,0,0
Luke Cripps,0.0,SR,WR/S,#1,Boyer Valley,0,0
Eli Schmidt,0.0,SR,RB/S,#3,Clarksville,0,0
Kent Sanders,0.0,JR,RB/LB,#32,Kuemper Catholic,0,0
Jaxon Gordon,0.0,SO,RB/S,#8,Riverside,0,0
