Name,Points,Position,School
Aaron Olsen,13.92,QB/S,Audubon
Abram Edwards,15.2,TE/DE,Winfield-Mt Union
Adam Bensley,0.0,SL/LB,Harris-Lake Park
Adam Scott,11.4,RB/LB,West Central
Adam Swaney,0.0,RB/LB,Bedford
Aden Bice,0.0,WR/LB,Northwood-Kensett
Adyson Stark,0.0,RB/DB,Belle Plaine
Aidan Ebert,2.3,WR,Riceville
Aidan Hesse,-0.7,OL/DL,Dunkerton
Aidan Timm,1.68,QB/DB,Belle Plaine
Aidan Yoch,0.0,TE/DB,West Bend-Mallard
Aiden Eickert,25.2,WR/LB,Easton Valley
Aiden Hellman,0.0,,Don Bosco
Aiden Klostermann,32.5,RB/S,Central City
Aiden Stenzel,0.2,RB/DB,Sidney
Aldo Esteban-Cabrera,9.1,RB/LB,Murray
Alex Black,0.0,WR/DB,Montezuma
Alex Daniel,9.7,RB/LB,Glidden-Ralston
Alex Hansen,27.5,RB/LB,Exira-EHK
Alex Tiedemann,13.4,QB/DB,Northwood-Kensett
Ambrose Savage,45.66,QB/LB,Lamoni
Andreas Buttry,-0.1,QB/CB,Sidney
Andrew Beran,6.9,RB,Riceville
Andrew Kolsrud,8.3,WR/CB,Kee
Anthony Eisele,0.0,OL/DL,North Iowa
Anthony Harrington,35.7,QB/LB,Midland
Anthony Knaack,0.0,WR/LB,Gladbrook-Reinbeck
Asher Stutzman,0.0,RB/LB,English Valleys
Ashton Nally,0.0,QB/CB,Bedford
Austin Boege,0.0,RB/LB,Collins-Maxwell
Austin Christensen,2.7,WR/LB,Audubon
Austin Gehring,0.0,WR/DB,Gladbrook-Reinbeck
Austin Lack,8.7,WR/DB,East Union
Austin Schmidt,0.2,QB/DB,West Bend-Mallard
Austin Vaverka,0.0,RB/LB,Gladbrook-Reinbeck
Austin Williams,4.8,RB/LB,CAM
Ayden Lamb,1.2,TE/LB,Murray
Beau Burns,0.0,QB/DB,BGM
Beckett Rhoads,0.0,WR/DB,BGM
Ben Belew,23.4,,Don Bosco
Ben Coffman,0.0,RB/LB,English Valleys
Ben Ryan,0.0,TE/DE,Colo-Nesco
Ben Yezek,0.0,WR/DB,Northwood-Kensett
Benjy Trainer,0.0,TE/LB,Bishop Garrigan
Bennett Pfister,0.0,WR/DB,Siouxland Christian
Bennett Steger,4.3,WR,Edgewood-Colesburg
Biar Biar,0.0,OG/DL,Siouxland Christian
Blake Ewing,0.0,FB/LB,Moravia
Blake Helmick,0.0,OG/DE,Moravia
Blake Micetich,0.0,RB/DB,Twin Cedars
Blayne Smith,22.94,QB/DB,Ar-We-Va
Bode Wyman,0.0,QB/CB,Griswold
Braden Jordan,9.3,QB/LB,Springville
Braden Simington,3.0,S/WR,GTRA
Brady Babel,0.0,RB/CB,Newell-Fonda
Brady Boulton,16.58,QB/DB,Montezuma
Brady Koenck,0.0,RB/LB,Remsen St. Mary's
Brady Lewis,2.6,WR/S,West Harrison
Braedon Godfread,10.4,TE/S,Sidney
Bram Bielenberg,14.1,RB/LB,Siouxland Christian
Braxston Bucknell,0.0,OL/DL,Tripoli
Braxton Blackburn,34.5,,Fremont-Mills
Braxton Bormann,0.0,RB/LB,Central Elkader
Braxton Davis,0.0,WR/DB,Twin Cedars
Braxton Kniep,0.0,WR/DE,Remsen St. Mary's
Brayden Chester,0.0,RB/LB,CAM
Brayden Hepke,0.0,WR/DB,BGM
Brayden Svejda,0.0,QB/CB,Calamus-Wheatland
Braydon Draeger,0.0,TE/LB,Melcher-Dallas
Braydon Hensley,0.0,QB/CB,Bedford
Breckin Clatt,21.2,RB/DB,Colo-Nesco
Brenden Connett,0.0,RB/LB,Twin Cedars
Brenden Wagner,0.0,TE/LB,Woodbine
Brenden Wheeler,1.0,RB/LB,Southeast Warren
