Name,Points,YP,Number,School,YDS,TDS,INT
Perrin Sulzle,157.4,JR  QB/LB,#7,Baxter,1710,23,3
Beau Burns,142.56,SO  QB/DB,#2,BGM,1614,21,6
Keagan Lee,134.16,SO  QB/DB,#17,Easton Valley,1354,22,8
Brodyn Pryor,144.72,SO  QB/DB,#8,Woodbine,1418,24,8
Brady Boulton,132.56,SO  QB/DB,#1,Montezuma,1064,23,2
Mason McIntosh,85.36,SR  QB/LB,#16,West Harrison/Whiting,1084,12,6
Slate Witte,88.12,SR  #7 GMG,,,1128,12,5
Cooper Wierson,47.52,SO  QB/LB,#1,Collins-Maxwell,888,6,12
Blayne Smith,78.44,JR  QB/DB,#15,Ar-We-Va,911,12,6
Lucas Ahrenstorff,49.84,SR  QB/S,#1,Harris-Lake Park,721,7,7
Dalton Mudderman,127.28,JR  QB/LB,#5,Kee,1232,21,6
Shane Helmick,137.52,SR  QB/DE,#12,Moravia,1163,24,5
Grant Whitehead,105.84,JR  QB/DB,#15,Sidney,1146,16,4
Kooper Julseth,58.08,JR  WR/LB,#1,Northwood-Kensett,677,9,5
Kasey Hough,87.48,JR  QB/S,#11,GTRA,1037,12,2
JT Laufersweiler,117.76,SR  QB/DB,#11,St. Edmond,1319,18,7
Caden Page,71.08,JR  QB/LB,#8,Murray,702,12,5
Judah Bielenberg,37.16,JR  QB/LB,#10,Siouxland Christian,829,3,8
Caleb Urban,45.28,JR  WR/CB,#3,East Mills,557,8,9
Wyatt Oswald,59.4,JR  QB/LB,#10,Coon Rapids-Bayard,635,10,6
Bode Wyman,41.4,JR  QB/CB,#8,Griswold,660,5,5
Jake Edwards,104.92,JR  QB/S,#3,Winfield-Mt Union,973,17,2
Christian Pierce,2.64,SO  QB/S,#4,Rockford,316,0,10
Chase Spieker,84.72,JR  QB/DB,#5,CAM,793,14,3
Anthony Harrington,49.6,SO  QB/LB,#2,Midland,540,8,4
Jack Adams,48.8,JR  QB,#7,Riceville,470,8,2
Tate Foertsch,75.32,SO  QB/DB,#7,Bishop Garrigan,683,12,0
Landon Waldschmitt,44.72,JR  QB/DB,#7,Remsen St. Mary's,493,7,3
Nolan Kriegel,59.84,FR  QB/DB,#2,Iowa Valley,696,9,4
Jameson Kilworth,45.0,SR  QB/DB,#8,Exira-EHK,625,6,4
Sawyer Forney,42.6,SO  #2 Fremont-Mills,,,515,7,6
Clayton Miller,49.88,JR  QB/CB,#4,WACO,472,8,1
Degin Dixson,39.8,SR  QB/CB,#3,Mormon Trail,520,6,5
Jamison Ewing,47.36,SO  WR/CB,#8,Southeast Warren,459,8,3
Aaron Olsen,13.24,JR  QB/S,#3,Audubon,331,1,4
Nolan Grebin,41.32,SR  QB/S,#2,Stanton/Essex,533,6,4
Brogyn Greensky,62.88,SR  QB/LB,#4,North Iowa,622,10,2
Gavin Menke-Bailey,48.76,JR  QB/LB,#5,New London,519,8,4
Dallas Smith,23.64,JR  QB/DB,#2,Twin Cedars,416,4,9
Isaac Clark,80.48,SR  QB/LB,#12,Gladbrook-Reinbeck,637,14,1
Dylan Marquart,64.16,JR  QB/DB,#3,Dunkerton,554,11,2
Kambridge Wainscott,41.2,SR  QB/DB,#15,Waterloo Christian,430,7,4
Kale Doeppke,26.72,SR  WR/DB,#5,Central Elkader,343,4,3
Drew Urbanek,18.04,FR  QB/CB,#10,Tripoli,276,3,5
Brody Koch,30.72,SO  RB/LB,#5,Calamus-Wheatland,393,4,1
Gabe Funk,64.64,JR  QB/DB,#17,Lenox,591,11,3
Breckin Clatt,27.72,JR  QB/DB,#14,Colo-Nesco,293,5,4
Logan Busta,54.88,SO  QB/DB,#1,Turkey Valley,397,10,1
Landon Montag,29.52,SR  RB/LB,#24,West Bend-Mallard,438,4,4
Owen Garside,18.8,JR  S/QB,#3,Boyer Valley,220,3,2
Kaiden Knaack,19.68,SR  #10 Don Bosco,,,267,3,3
Ethan Bockelman,41.48,SR  QB/DB,#22,Lone Tree,412,7,3
Ambrose Savage,18.0,JR  QB/LB,#12,Lamoni,350,2,4
Myles Grove,31.0,SR  QB/LB,#10,English Valleys,250,6,3
Jed Tyler,9.6,SR  QB/DB,#7,West Central,265,1,5
Max Carlson,22.32,JR  QB/LB,#10,Newell-Fonda,258,4,4
McKoy Nuss,17.36,SO  QB/LB,#13,Tripoli,234,3,4
Seth Hudson,23.36,SR  QB/S,#7,East Union,284,4,4
Zach Thornburg,21.08,SR  QB/CB,#9,East Mills,252,3,1
Luke Cripps,29.56,SR  QB/S,#1,Boyer Valley,239,5,0
Jayden Hanson,53.0,SR  QB/DB,#7,Central City,425,9,0
Ty Alcott,33.32,JR  RB/DB,#24,Belle Plaine,308,6,3
Colby Wallace,13.52,JR  QB/S,#11,Glidden-Ralston,238,2,4
Reece Chiabotta,25.96,SO  QB/DB,#34,Melcher-Dallas,324,4,3
Dane Appleby,25.88,JR  QB/LB,#4,Janesville,197,5,2
Luke Brennan,18.04,SO  QB/DB,#6,Montezuma,151,3,0
Bryer Jack,12.08,FR  QB/DB,#14,HLV,177,2,3
Isaac Loan,6.16,SO  QB/DB,#12,Central Elkader,79,1,1
Conner Nally,41.48,SR  QB/LB,#5,Bedford,287,8,2
Austin Lack,6.12,SR  WR/DB,#3,East Union,78,1,1
Max Henstorf,12.8,SR  QB/LB,#7,HLV,170,2,2
Braden Jordan,14.84,SO  QB/LB,#10,Springville,196,2,1
Pryce Rochford,12.44,JR  QB,#22,Edgewood-Colesburg,236,1,1
Caybrin Schilling,7.44,SO  QB/DB,#7,Dunkerton,136,1,2
Mason Hoy,23.96,SO  RB/CB,#9,Springville,224,4,1
Carson Ingles,2.6,SO  RB,#1,Edgewood-Colesburg,90,1,5
Wyatt Silk,8.08,SO  WR/CB,#15,Griswold,77,2,3
Eli Schmidt,15.04,SR  RB/S,#3,Clarksville,176,2,0
Johnny Milburn,14.64,JR  QB/DB,#13,Southeast Warren,166,2,0
Johnathan Riesselman,6.68,SO  WR/DB,#7,Ar-We-Va,92,1,1
Quintin White,12.4,SR  WR/DB,#3,Exira-EHK,110,2,0
Brayden Svejda,9.8,JR  QB/CB,#1,Calamus-Wheatland,95,2,2
Aidan Timm,2.24,SO  QB/DB,#9,Belle Plaine,81,0,1
Keegan Chew,3.96,FR  QB/S,#7,Murray,99,0,0
Dreyson Morgan,7.2,SO  WR/DB,#10,Gladbrook-Reinbeck,80,1,0
Alex Tiedemann,2.32,SO  QB/DB,#34,Northwood-Kensett,58,0,0
Jack Angell,0.48,SO  QB/DB,#18,Colo-Nesco,12,0,0
Nolan Birdsall,2.92,JR  RB/LB,#2,West Harrison/Whiting,98,0,1
Tate Mount,4.64,SO  QB/DB,#2,Sidney,91,1,3
Holden Roberts,3.8,SO  TE/DE,#13,Twin Cedars,45,1,2
Colby Eskildsen,1.0,JR  TE/DL,#12,Northwood-Kensett,25,0,0
Dane Ballou,-1.68,FR  QB/LB,#17,Midland,8,0,2
Oliver Schmitt,8.48,SR  FB,#22,Turkey Valley,112,1,0
Cale Langreck,7.4,FR  QB/LB,#10,Turkey Valley,60,2,3
Gunnar Smith,0.36,SO  QB,#6,Riceville,9,0,0
Brock Binkley,3.16,FR  QB/DB,#8,Lamoni,4,1,1
Keenan Foland,0.0,FR  QB/S,#1,West Harrison/Whiting,25,0,1
Logan French,0.48,SR  WR/DB,#1,Stanton/Essex,12,0,0
Jacob Martin,1.52,JR  RB/LB,#3,Stanton/Essex,38,0,0
MaKade Bloker,10.6,SR  RB/LB,#11,Clarksville,90,2,1
Preston Kulper,0.48,SO  WR/DB,#81,Central Elkader,12,0,0
Talan Jacobsen,0.44,FR  QB/LB,#10,North Iowa,11,0,0
Leo Schrader,0.28,FR  QB/DB,#23,Melcher-Dallas,7,0,0
Kale Moore,1.24,FR  QB/DB,#14,Moravia,31,0,0
Hayden Shelman,0.4,FR  DB/RB,#15,WACO,10,0,0
Ethan Bridgewater,0.64,SO  RB/LB,#35,BGM,16,0,0
