Week,Home Team,Away Team,Winner
1,Luke,Zane,TBD
1,Cameron,Ian,TBD
1,Bransen,Brayden,TBD
1,Brandon,Landon,TBD
2,Landon,Luke,TBD
2,Brayden,Cameron,TBD
2,Bransen,Brandon,TBD
2,Ian,Zane,TBD
3,Brandon,Ian,TBD
3,Landon,Brayden,TBD
3,Bransen,Zane,TBD
3,Luke,Cameron,TBD
4,Luke,Bransen,TBD
4,Brayden,Zane,TBD
4,Ian,Landon,TBD
4,Cameron,Brandon,TBD
5,Ian,Luke,TBD
5,Zane,Landon,TBD
5,Brayden,Cameron,TBD
5,Brandon,Bransen,TBD
6,Brandon,Zane,TBD
6,Landon,Cameron,TBD
6,Bransen,Ian,TBD
6,Brayden,Luke,TBD
7,Landon,Bransen,TBD
7,Ian,Brayden,TBD
7,Cameron,Zane,TBD
7,Brandon,Luke,TBD
8,Zane,Luke,TBD
8,Landon,Ian,TBD
8,Cameron,Bransen,TBD
8,Brandon,Brayden,TBD
